Case_Number,Vehicle No.,Body Type,Speed Exceed,Driver Safety,Pedestrian Crash,Hit/Run
482752,2,"4-door sedan, hardtop",No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
482753,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Police Pursuing this Driver or Police Officer in Pursuit,Off the edge of the road on the left side,No
482754,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Careless Driving,Off the edge of the road on the right side,No
482761,2,Motor Scooter,No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Turning Left,No
482764,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions",Overcorrecting,Off the edge of the road on the right side,No
482765,1,"4-door sedan, hardtop",No,Careless Driving,Off the edge of the road on the left side,No
482766,2,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
482768,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
482769,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
482771,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Careless Driving,Over the lane line on left side of travel lane,No
482772,1,Light Pickup,No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Over the lane line on right side of travel lane,No
482775,1,"2-door sedan,hardtop,coupe",No,Failing to Dim Lights or to Have Lights on When Required,Off the edge of the road on the right side,No
482777,1,"2-door sedan,hardtop,coupe",No,Driver has not complied with Learner`s Permit or Intermediate Driver License Restrictions (GDL Restrictions),Pedestrian in road,No
482778,2,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
482779,1,Two Wheel Motorcycle (excluding motor scooters),No,Following Improperly,Traveling in same direction while decelerating,No
482781,1,5-door/4-door hatchback,No,Failure to Yield Right-of-Way,Turning Left,No
482782,1,"2-door sedan,hardtop,coupe","Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the left side,No
482783,1,Light Pickup,No,"Pedestrian, Pedal Cyclist or Other Non-Motorist",Pedestrian in road,No
482786,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
482788,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
482788,3,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",No,Intentional Illegal Driving Off the Roadway,Other critical precrash event (specify:),No
482790,1,Two Wheel Motorcycle (excluding motor scooters),No,Live Animals in Road,Animal in road,No
482794,1,Unknown body type,No,Careless Driving,Over the lane line on right side of travel lane,Yes
482796,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Improper Lane Usage,Off the edge of the road on the left side,No
482799,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Vehicle in Road,Other vehicle stopped,No
482800,1,"Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)","Yes, Too Fast for Conditions",Vehicle in Road,Other vehicle stopped,No
482800,2,5-door/4-door hatchback,No,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
482802,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
482807,2,"4-door sedan, hardtop",No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
482807,3,"4-door sedan, hardtop",No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Pedestrian in road,No
482808,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
482809,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
482811,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
482813,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
482815,1,"4-door sedan, hardtop",No,Overcorrecting,Off the edge of the road on the right side,No
482816,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Traveling in same direction with lower steady speed,Yes
482817,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Making Other Improper Turn,Turning Right,No
482820,1,Light Pickup,No,Careless Driving,Making a U-Turn,No
482822,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Turning Left,No
482823,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
482824,1,5-door/4-door hatchback,No,Overcorrecting,Off the edge of the road on the left side,No
482825,1,"4-door sedan, hardtop",No,"Passing where Prohibited by Posted Signs, Pavement Markings or School Bus Displaying Warning not to Pass",Traveling in opposite direction,No
482826,1,Station Wagon (excluding van and truck based),"Yes, Exceeded Speed Limit","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Off the edge of the road on the right side,No
482829,1,Light Pickup,"Yes, Too Fast for Conditions","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Off the edge of the road on the right side,No
482833,1,Light Pickup,No,Failure to Yield Right-of-Way,From opposite direction  over left lane line,No
482833,2,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,Failure to Signal Intentions,Turning Left,No
482835,1,Light Pickup,No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Off the edge of the road on the right side,No
482843,2,Light Pickup,No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
482844,2,"2-door sedan,hardtop,coupe",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
482845,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
482846,2,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
482849,1,"4-door sedan, hardtop",No,Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Over the lane line on left side of travel lane,No
482851,1,Light Pickup,"Yes, Too Fast for Conditions",Improper or Erratic Lane Changing,Traveling Too Fast for Conditions or Road Configuration,No
482855,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
482856,1,"2-door sedan,hardtop,coupe",No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
482857,1,Station Wagon (excluding van and truck based),No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Unknown travel direction,No
482860,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Off the edge of the road on the right side,Yes
482864,1,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Unknown travel direction,No
482865,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Off the edge of the road on the right side,No
482865,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),"From parking Lane/Shoulder, Median/Crossover, Roadside",No
482866,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Other critical precrash event (specify:),No
482867,1,"Utility station wagon (includes suburban limousines, Suburban, Travellall, Grand Wagoneer)",No,Live Animals in Road,Animal in road,No
482868,2,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Off the edge of the road on the right side,No
482870,1,Off-road Motorcycle,"Yes, Specifics Unknown",Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Over the lane line on left side of travel lane,No
482871,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
482872,1,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Pedestrian in road,Yes
482873,1,Light Pickup,No,Improper Lane Usage,Over the lane line on right side of travel lane,No
482875,1,Light Pickup,"Yes, Too Fast for Conditions","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Traveling in same direction with lower steady speed,No
482877,1,Station Wagon (excluding van and truck based),No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
482878,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
482880,1,3-door/2-door hatchback,"Yes, Exceeded Speed Limit",Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
482882,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Traveling in same direction with lower steady speed,No
482883,1,"2-door sedan,hardtop,coupe","Yes, Specifics Unknown","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Traveling Too Fast for Conditions or Road Configuration,No
482884,1,Station Wagon (excluding van and truck based),No,Careless Driving,Pedestrian in road,No
482886,2,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
482887,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Traveling in same direction with lower steady speed,No
482887,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Traveling in same direction with higher speed,No
482888,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Turning Left,No
482892,1,Light Pickup,No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
482894,1,5-door/4-door hatchback,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
482898,1,"4-door sedan, hardtop",No,Live Animals in Road,Animal in road,No
482899,2,"4-door sedan, hardtop",No Driver Present/Unknown if Driver Present,Leaving Vehicle Unattended with Engine Running. Leaving Vehicle Unattended in Roadway,Traveling in same direction with higher speed,No
482899,3,Light Pickup,No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
482903,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Improper Lane Usage,Over the lane line on left side of travel lane,No
482905,1,Light Pickup,No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
482906,1,Light Pickup,No,Overcorrecting,Off the edge of the road on the right side,No
482907,1,Light Pickup,No,Overcorrecting,Off the edge of the road on the right side,No
482908,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Specifics Unknown",Improper Lane Usage,Over the lane line on left side of travel lane,No
482910,1,Light Pickup,No,Improper Lane Usage,Pedestrian in road,Yes
482911,1,"4-door sedan, hardtop","Yes, Specifics Unknown",Driver has not complied with Learner`s Permit or Intermediate Driver License Restrictions (GDL Restrictions),Off the edge of the road on the right side,No
482913,1,Light Pickup,"Yes, Specifics Unknown","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Pedestrian approaching road,Yes
482919,1,Unknown body type,No,Failure to Yield Right-of-Way,Pedestrian in road,Yes
482920,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown",Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
482921,1,"4-door sedan, hardtop",No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Pedestrian in road,Yes
482925,1,Light Pickup,No,Careless Driving,Off the edge of the road on the right side,No
482926,1,"Convertible(excludes sun-roof,t-bar)","Yes, Specifics Unknown",Driving Wrong Way on One-Way Trafficway,Traveling Too Fast for Conditions or Road Configuration,No
482928,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
482931,1,"4-door sedan, hardtop",No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
482932,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
482933,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
482934,1,"2-door sedan,hardtop,coupe","Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
482935,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Other vehicle stopped,No
482938,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Careless Driving,Pedestrian in road,No
482939,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions",Careless Driving,Off the edge of the road on the left side,No
482941,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
482941,2,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Vehicle in Road,From opposite direction  over left lane line,No
482943,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
482947,1,Light Pickup,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,Yes
482948,1,Light Pickup,"Yes, Too Fast for Conditions",Failure to Yield Right-of-Way,Over the lane line on left side of travel lane,Yes
482949,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,Yes
482950,1,Light Pickup,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
482952,1,"4-door sedan, hardtop",No,Live Animals in Road,Animal in road,No
482956,1,Light Pickup,"Yes, Exceeded Speed Limit",Police Pursuing this Driver or Police Officer in Pursuit,Traveling Too Fast for Conditions or Road Configuration,No
482960,1,Unknown body type,No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Pedestrian in road,Yes
482961,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
482962,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
482963,2,Station Wagon (excluding van and truck based),No,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
482964,1,Light Pickup,"Yes, Too Fast for Conditions",Careless Driving,Other vehicle stopped,No
482965,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Off the edge of the road on the left side,No
482969,1,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Unknown travel direction,No
482970,1,Light Pickup,No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Off the edge of the road on the right side,No
482971,1,Light Pickup,"Yes, Specifics Unknown",Overcorrecting,Off the edge of the road on the right side,No
482972,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Careless Driving,Traveling in same direction with lower steady speed,No
482973,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions",Police Pursuing this Driver or Police Officer in Pursuit,Traveling in same direction with lower steady speed,No
482974,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Racing",Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
482976,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Off the edge of the road on the right side,Yes
482978,1,"2-door sedan,hardtop,coupe","Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Traveling Too Fast for Conditions or Road Configuration,No
482980,1,Light Pickup,"Yes, Specifics Unknown","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Traveling in same direction with lower steady speed,Yes
482981,1,Light Pickup,"Yes, Too Fast for Conditions",Overcorrecting,Off the edge of the road on the right side,No
482984,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Off the edge of the road on the right side,Yes
482985,1,Light Pickup,"Yes, Too Fast for Conditions","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Traveling Too Fast for Conditions or Road Configuration,No
482988,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
482990,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Turning Left,No
482992,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
482992,3,"4-door sedan, hardtop",No,Driver has not complied with Learner`s Permit or Intermediate Driver License Restrictions (GDL Restrictions),"From crossing street, across path",No
482993,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Careless Driving,Pedestrian in road,No
482995,2,"Utility station wagon (includes suburban limousines, Suburban, Travellall, Grand Wagoneer)",No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
482996,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
482997,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Careless Driving,Traveling Too Fast for Conditions or Road Configuration,No
482998,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
482999,1,"4-door sedan, hardtop",No,"Passing where Prohibited by Posted Signs, Pavement Markings or School Bus Displaying Warning not to Pass",Traveling in opposite direction,No
483000,2,Light Pickup,"Yes, Too Fast for Conditions",Careless Driving,Other vehicle stopped,No
483001,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Too Fast for Conditions",Intentional Illegal Driving Off the Roadway,Off the edge of the road on the left side,No
483002,1,"4-door sedan, hardtop",No,Overcorrecting,Off the edge of the road on the right side,No
483007,2,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
483008,1,Light Pickup,No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
483011,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
483014,2,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
483015,1,Light Pickup,No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Pedestrian in road,No
483017,1,Light Pickup,"Yes, Too Fast for Conditions",Overcorrecting,Traveling Too Fast for Conditions or Road Configuration,No
483019,2,"4-door sedan, hardtop",No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
483019,3,Light Pickup,No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
483020,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
483022,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Off the edge of the road on the left side,No
483023,1,Light Pickup,"Yes, Exceeded Speed Limit","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
483027,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
483029,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Pedestrian in road,Yes
483031,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Off the edge of the road on the right side,No
483034,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Too Fast for Conditions",Careless Driving,Off the edge of the road on the left side,No
483036,1,"4-door sedan, hardtop",No,Careless Driving,Turning Left,No
483038,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
483040,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
483041,1,"2-door sedan,hardtop,coupe",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
483042,1,Light Pickup,"Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws","From crossing street, turning into same direction",Yes
483044,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
483045,1,Three-wheel Motorcycle (2 Rear Wheels),No,Live Animals in Road,Animal in road,No
483048,2,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
483050,2,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
483051,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Exceeded Speed Limit",Improper Lane Usage,Other vehicle stopped,No
483052,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Specifics Unknown","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Pedalcyclist or other non-motorist in road,Yes
483055,1,Light Pickup,"Yes, Too Fast for Conditions","Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Traveling Too Fast for Conditions or Road Configuration,No
483058,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions",Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Off the edge of the road on the left side,No
483059,1,"2-door sedan,hardtop,coupe","Yes, Too Fast for Conditions",Improper Lane Usage,Over the lane line on left side of travel lane,No
483060,1,"4-door sedan, hardtop",No,Vehicle in Road,Other vehicle stopped,No
483061,1,"4-door sedan, hardtop",No,Intentional Illegal Driving Off the Roadway,Other cause of control loss (specify:),No
483062,2,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Driver Has a Driving Record or Driver`s License From More Than One State,Backing,No
483064,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
483066,1,"4-door sedan, hardtop",No,Making Improper Entry to or Exit from Trafficway,Making a U-Turn,No
483067,1,5-door/4-door hatchback,No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
483070,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Pedestrian in road,No
483071,1,Station Wagon (excluding van and truck based),No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
483071,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driver has not complied with Learner`s Permit or Intermediate Driver License Restrictions (GDL Restrictions),Traveling in opposite direction,No
483072,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
483074,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
483078,1,Light Pickup,No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
483079,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
483080,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
483080,2,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Other vehicle stopped,No
483080,3,Light Pickup,No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
483081,1,"4-door sedan, hardtop",No,Overcorrecting,Unknown cause of control loss,No
483082,1,Light Pickup,No,"Passing where Prohibited by Posted Signs, Pavement Markings or School Bus Displaying Warning not to Pass",Over the lane line on left side of travel lane,Yes
483083,1,Light Pickup,No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
483092,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
483093,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,Yes
483096,1,Light Pickup,No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
483100,1,"2-door sedan,hardtop,coupe",No,Careless Driving,Turning Left,No
483101,1,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
483103,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions",Careless Driving,Other vehicle stopped,No
483104,1,Light Pickup,No,Careless Driving,From opposite direction  over left lane line,No
483106,1,Station Wagon (excluding van and truck based),No,Improper Lane Usage,Over the lane line on left side of travel lane,No
483109,1,5-door/4-door hatchback,No,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
483112,1,"4-door sedan, hardtop",No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),From adjacent lane (same direction) over left lane line,No
483114,1,Station Wagon (excluding van and truck based),No,Following Improperly,Off the edge of the road on the right side,No
483114,2,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Tire Blowout or Flat,Other critical precrash event (specify:),No
483118,1,Station Wagon (excluding van and truck based),No,Improper Lane Usage,Over the lane line on left side of travel lane,No
483119,1,Light Pickup,No,Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Over the lane line on left side of travel lane,No
483120,1,Light Pickup,No,Aggressive Driving / Road Rage,Off the edge of the road on the left side,No
483122,1,Station Wagon (excluding van and truck based),No,Improper Lane Usage,Over the lane line on left side of travel lane,No
